Asset,Category,Description,Tags,Notes
Backups,Data & Storage,"Data copies created for recovery purposes, including system backups, database snapshots, and file archives maintained across different storage locations",,"read-only, frequency, retention, integrity checks, scheduled testing  <= 1 year, dispersion across several AZs, Regions, Clouds"
Changes,Process & Governance,"Modifications to systems, applications, and infrastructure with proper oversight and approval","Approval, Acceptance","including infrastructure changes, 4-6 eyes principle, ...
- Inventory extraction through Jira, or equivalent"
Cloud environment,Infrastructure,"AWS accounts, GCP projects, and hybrid cloud infrastructure that powers your applications","AWS, GCP, Azure","AWS accounts, GCP Projects, ...
- Inventory can be generated from the cost explorer at the root account
- Alternatively: https://docs.aws.amazon.com/solutions/latest/workload-discovery-on-aws/solution-overview.html"
Compute,Infrastructure,"Processing resources that execute applications and workloads, including virtual machines, containers, serverless functions, and physical servers","VMs, K8s, Lambda","VM, K8S clusters, lambdas"
Customer,Data & Storage,"External entities that use the organization's products or services, including their accounts, profiles, and associated access patterns",,
Databases,Data & Storage,SQL and NoSQL databases storing your business and customer data.,"SQL, NoSQL, Cache","SQL, NoSQL
- Inventory extraction through the cloud provider API
- Alternatively: https://docs.aws.amazon.com/solutions/latest/workload-discovery-on-aws/solution-overview.html"
Endpoint devices,Physical,"Computing devices that connect to the organization's network and systems, including employee workstations, mobile devices, and IoT devices",,"laptops, PCs, ... including security scoring
List of devices not at risk of malware, with reasoning why"
Facilities,Physical,"Physical locations where business operations, technology infrastructure, or personnel are housed, including offices, data centers, and remote work locations",,
File storage,Data & Storage,"Network-attached storage, file shares, and cloud file services for unstructured data","NFS, EFS, NAS","AWS EFS/EBS, GCP Elastifile Cloud File, physical media
- Inventory extraction through the cloud provider API
- Alternatively: https://docs.aws.amazon.com/solutions/latest/workload-discovery-on-aws/solution-overview.html"
Logs,Data & Storage,"Records of events, transactions, and activities generated by systems, applications, and security tools for monitoring and audit purposes",,
Network,Infrastructure,"VPCs, subnets, load balancers, and connectivity infrastructure securing your data flows","VPC, CDN, DNS","Inventory of the VPCs and networks in the accouts, including ingres/egres routing information, VPN routes, DNS
- Inventory extraction through the cloud provider API
- Alternatively: https://docs.aws.amazon.com/solutions/latest/workload-discovery-on-aws/solution-overview.html"
Object storage,Data & Storage,"Storage services that manage data as objects with metadata, typically accessed via APIs and used for scalable, distributed data storage","S3, GCS","AWS S3, GCP Cloud Storage, ...
- Inventory extraction through the cloud provider API
- Alternatively: https://docs.aws.amazon.com/solutions/latest/workload-discovery-on-aws/solution-overview.html"
Outsourced controls,Process & Governance,Security and compliance functions that have been delegated to external service providers,,"These are controls that are implemented by a third party, and used by the entity
network scans, secret scans in source code, ..."
Payment pages,PCI,"Web interfaces and applications that collect, process, or display payment card information from customers",,
PCI Sensitive,PCI,Payment card industry sensitive data including card numbers (PAN) and Sensitive Authentication Data (SAD),,
Physical media,Physical,"Tangible storage devices and materials that contain or can store digital information, including hard drives, USB devices, printed documents, and removable media",,
Policies,Process & Governance,"Formal, high-level document that defines an organizationâs principles, intentions, and rules for managing technology operations and security. Policies establish direction and expectations, and are supported by standards, procedures, and guidelines.","Security, Privacy, Access",
POS Devices,PCI,Point-of-sale systems and terminals used to process customer transactions and handle payment card data,,"Device inventory, including: Make and model, Location, Serial number"
Process,Process & Governance,"Defined workflows and procedures that govern how technology operations, security activities, and business functions are executed","Workflows, Testing, Reviews",with details on how to test them
RBAC,Access & Identity,Role-Based Access Control defining and managing user permissions and system access based on organizational roles and responsibilities,"Roles, Permissions, ACL",which roles have which permissions for which system
Secrets and certificates,Access & Identity,"API keys, passwords, encryption keys, and digital certificates protecting your systems","Keys, Certs, Vault","credentials, keys including standards, certificates including issuing CA, expiration date"
Self-developed services,Development,"Applications, APIs, and software components created in-house that provide business functionality or support organizational operations",,Exposed to the internet and internal
Software repositories,Development,"Version control systems and code storage platforms that house source code, configuration files, and development artifacts",,"Github, Gitlab, ...
- Identify infrastructure repositories, OWNERS files, permissions"
Third-Parties,Suppliers,"External organizations that provide services, products, or capabilities to support business operations, including vendors, suppliers, and service providers",,"Supplier register, including:
- which PCI DSS requirement is outsourced to this supplier"
Users,Access & Identity,"Individuals who have access to organizational systems and data, including employees, contractors, and authorized external parties","SSO, MFA","user accounts, including:
- systems they can connect to and with which roles
- key events, like Joiner-Mover-Leaver, with approvals
- FTE vs external"